1), 52.00, 44.00, 262.00, 62.00, 49.00, 10.40, 8.80, 52.40, 12.40, 9.80, -1, -0.102510, -1, -1
2), 51.00, 31.00, 262.00, 59.00, 44.00, 20.60, 15.00, 104.80, 24.20, 18.60, -1, -0.102510, -1, -1
3), 51.00, 39.00, 261.00, 56.00, 43.00, 30.80, 22.80, 157.00, 35.40, 27.20, -1, -0.102510, -1, -1
4), 46.00, 41.00, 261.00, 56.00, 41.00, 40.00, 31.00, 209.20, 46.60, 35.40, -1, -0.102510, -1, -1
5), 48.00, 33.00, 262.00, 52.00, 41.00, 49.60, 37.60, 261.60, 57.00, 43.60, -1, -0.097969, -1, -1
6), 48.00, 36.00, 261.00, 49.00, 41.00, 48.80, 36.00, 261.40, 54.40, 42.00, -1, -0.086981, -1, -1
7), 44.00, 36.00, 262.00, 49.00, 29.00, 47.40, 37.00, 261.40, 52.40, 39.00, -1, -0.086307, -1, -1
8), 44.00, 36.00, 264.00, 46.00, 29.00, 46.00, 36.40, 262.00, 50.40, 36.20, -1, -0.067157, -1, -1
9), 43.00, 38.00, 264.00, 43.00, 29.00, 45.40, 35.80, 262.60, 47.80, 33.80, -1, -0.047852, -1, -1
10), 48.00, 41.00, 264.00, 43.00, 28.00, 45.40, 37.40, 263.00, 46.00, 31.20, -1, -0.049187, -1, -1
11), 44.00, 38.00, 257.00, 33.00, 29.00, 44.60, 37.80, 262.20, 42.80, 28.80, -1, -0.033909, -1, 1
12), 44.00, 38.00, 261.00, 31.00, 38.00, 44.60, 38.20, 262.00, 39.20, 30.60, 1, 0.006007, -1, 1
13), 43.00, 39.00, 264.00, 36.00, 41.00, 44.40, 38.80, 262.00, 37.20, 33.00, 1, 0.053756, -1, 1
14), 43.00, 43.00, 264.00, 39.00, 41.00, 44.40, 39.80, 262.00, 36.40, 35.40, 1, 0.061790, 1, 1
15), 44.00, 36.00, 261.00, 39.00, 41.00, 43.60, 38.80, 261.40, 35.60, 38.00, 1, 0.066842, 1, 1
16), 48.00, 36.00, 262.00, 31.00, 25.00, 44.40, 38.40, 262.40, 35.20, 37.20, 1, 0.025447, 1, 1
17), 43.00, 39.00, 262.00, 31.00, 29.00, 44.20, 38.60, 262.60, 35.20, 35.40, 1, 0.054633, 1, 1
18), 44.00, 41.00, 262.00, 34.00, 39.00, 44.40, 39.00, 262.20, 34.80, 35.00, 1, 0.068244, 1, 1
19), 43.00, 41.00, 264.00, 36.00, 41.00, 44.40, 38.60, 262.20, 34.20, 35.00, 1, 0.064966, 1, 1
20), 46.00, 33.00, 261.00, 36.00, 41.00, 44.80, 38.00, 262.20, 33.60, 35.00, 1, 0.040220, 1, 1
21), 44.00, 34.00, 261.00, 48.00, 41.00, 44.00, 37.60, 262.00, 37.00, 38.20, -1, -0.002390, 1, -1
22), 46.00, 38.00, 262.00, 41.00, 28.00, 44.60, 37.40, 262.00, 39.00, 38.00, 1, 0.025818, 1, -1
23), 44.00, 38.00, 264.00, 43.00, 31.00, 44.60, 36.80, 262.40, 40.80, 36.40, 1, 0.017310, 1, -1
24), 43.00, 38.00, 264.00, 41.00, 43.00, 44.60, 36.20, 262.40, 41.80, 36.80, 1, 0.035738, 1, -1
25), 43.00, 39.00, 264.00, 48.00, 39.00, 44.00, 37.40, 263.00, 44.20, 36.40, -1, -0.021517, 1, -1
26), 44.00, 36.00, 264.00, 48.00, 41.00, 44.00, 37.80, 263.60, 44.20, 36.40, -1, -0.021511, 1, -1
27), 46.00, 34.00, 259.00, 48.00, 26.00, 44.00, 37.00, 263.00, 45.60, 36.00, -1, -0.056593, -1, -1
28), 46.00, 39.00, 264.00, 41.00, 29.00, 44.40, 37.20, 263.00, 45.20, 35.60, -1, -0.012635, -1, -1
29), 44.00, 39.00, 261.00, 41.00, 31.00, 44.60, 37.40, 262.40, 45.20, 33.20, -1, -0.016940, -1, -1
30), 43.00, 39.00, 259.00, 41.00, 31.00, 44.60, 37.40, 261.40, 43.80, 31.60, -1, -0.021265, -1, -1
31), 44.00, 41.00, 261.00, 31.00, 29.00, 44.60, 38.40, 260.80, 40.40, 29.20, -1, -0.004448, -1, 1
32), 46.00, 39.00, 262.00, 29.00, 28.00, 44.60, 39.40, 261.40, 36.60, 29.60, 1, 0.028342, -1, 1
33), 43.00, 46.00, 262.00, 39.00, 41.00, 44.00, 40.80, 261.00, 36.20, 32.00, 1, 0.036693, -1, 1
34), 44.00, 33.00, 261.00, 38.00, 41.00, 44.00, 39.60, 261.00, 35.60, 34.00, 1, 0.044216, 1, 1
35), 44.00, 36.00, 262.00, 38.00, 31.00, 44.20, 39.00, 261.60, 35.00, 34.00, 1, 0.055233, 1, 1
36), 44.00, 38.00, 264.00, 31.00, 28.00, 44.20, 38.40, 262.20, 35.00, 33.80, 1, 0.056246, 1, 1
37), 48.00, 41.00, 262.00, 31.00, 29.00, 44.60, 38.80, 262.20, 35.40, 34.00, 1, 0.049970, 1, 1
38), 43.00, 38.00, 259.00, 38.00, 41.00, 44.60, 37.20, 261.60, 35.20, 34.00, 1, 0.058740, 1, 1
39), 44.00, 48.00, 262.00, 38.00, 41.00, 44.60, 40.20, 261.80, 35.20, 34.00, 1, 0.040608, 1, 1
40), 46.00, 34.00, 264.00, 38.00, 44.00, 45.00, 39.80, 262.20, 35.20, 36.60, 1, 0.041673, 1, 1
41), 43.00, 36.00, 259.00, 48.00, 38.00, 44.80, 39.40, 261.20, 38.60, 38.60, -1, -0.010060, 1, -1
42), 46.00, 34.00, 264.00, 46.00, 44.00, 44.40, 38.00, 261.60, 41.60, 41.60, 1, 0.005504, 1, -1
43), 48.00, 43.00, 261.00, 41.00, 28.00, 45.40, 39.00, 262.00, 42.20, 39.00, -1, -0.019515, 1, -1
44), 43.00, 41.00, 264.00, 49.00, 39.00, 45.20, 37.60, 262.40, 44.40, 38.60, -1, -0.027825, -1, -1
45), 46.00, 34.00, 262.00, 46.00, 28.00, 45.20, 37.60, 262.00, 46.00, 35.40, -1, -0.035086, -1, -1
