

New occurence at: 2021-03-04 17:10:59.023492, Trojan name: HT1_1 - 4 

kernel , nu   , gamma   ,    Accuracy,    F1_score,    Recall,   Precision,   No_Sup_Vec, TP   , FN   , FP   , TN 
rbf  , 0.03  , 0.02  ,  0.78724  , 0.81819  , 0.95991  , 0.71295  , 2563.0  ,  23928   , 1072  , 9703  , 15297
rbf  , 0.03  , 0.0225  ,  0.79024  , 0.81977  , 0.95653  , 0.71724  , 2754.0  ,  23852   , 1148  , 9456  , 15544
rbf  , 0.03  , 0.025  ,  0.79284  , 0.821  , 0.9526  , 0.72137  , 2982.0  ,  23736   , 1264  , 9244  , 15756
rbf  , 0.03  , 0.0275  ,  0.79524  , 0.8221  , 0.94866  , 0.72536  , 3224.0  ,  23626   , 1374  , 9003  , 15997
rbf  , 0.03  , 0.03  ,  0.79784  , 0.82334  , 0.94458  , 0.7297  , 3507.0  ,  23525   , 1475  , 8788  , 16212
rbf  , 0.03  , 0.0325  ,  0.80052  , 0.82456  , 0.93993  , 0.73443  , 3820.0  ,  23388   , 1612  , 8554  , 16446
rbf  , 0.03  , 0.035  ,  0.80232  , 0.82498  , 0.93423  , 0.73862  , 4166.0  ,  23238   , 1762  , 8351  , 16649
rbf  , 0.0325  , 0.02  ,  0.7878  , 0.81821  , 0.95757  , 0.71428  , 2692.0  ,  23870   , 1130  , 9605  , 15395
rbf  , 0.0325  , 0.0225  ,  0.791  , 0.82008  , 0.95508  , 0.71853  , 2860.0  ,  23797   , 1203  , 9381  , 15619
rbf  , 0.0325  , 0.025  ,  0.79328  , 0.82109  , 0.95116  , 0.72234  , 3069.0  ,  23702   , 1298  , 9159  , 15841
rbf  , 0.0325  , 0.0275  ,  0.79584  , 0.82244  , 0.9481  , 0.72622  , 3300.0  ,  23598   , 1402  , 8933  , 16067
rbf  , 0.0325  , 0.03  ,  0.79856  , 0.82383  , 0.94442  , 0.73057  , 3568.0  ,  23500   , 1500  , 8749  , 16251
rbf  , 0.0325  , 0.0325  ,  0.8012  , 0.82501  , 0.93969  , 0.7353  , 3864.0  ,  23368   , 1632  , 8527  , 16473
rbf  , 0.0325  , 0.035  ,  0.8028  , 0.82531  , 0.93407  , 0.73925  , 4195.0  ,  23230   , 1770  , 8328  , 16672
rbf  , 0.035  , 0.02  ,  0.78832  , 0.8183  , 0.95581  , 0.7154  , 2802.0  ,  23829   , 1171  , 9531  , 15469
rbf  , 0.035  , 0.0225  ,  0.79148  , 0.82012  , 0.95316  , 0.71969  , 2963.0  ,  23754   , 1246  , 9304  , 15696
rbf  , 0.035  , 0.025  ,  0.79364  , 0.82116  , 0.94996  , 0.72315  , 3164.0  ,  23673   , 1327  , 9108  , 15892
rbf  , 0.035  , 0.0275  ,  0.79632  , 0.82263  , 0.94706  , 0.72711  , 3381.0  ,  23570   , 1430  , 8876  , 16124
rbf  , 0.035  , 0.03  ,  0.79924  , 0.82421  , 0.9437  , 0.7316  , 3640.0  ,  23469   , 1531  , 8687  , 16313
rbf  , 0.035  , 0.0325  ,  0.80116  , 0.8248  , 0.93849  , 0.7357  , 3923.0  ,  23340   , 1660  , 8479  , 16521
rbf  , 0.035  , 0.035  ,  0.80324  , 0.82549  , 0.93319  , 0.7401  , 4243.0  ,  23207   , 1793  , 8298  , 16702
rbf  , 0.0375  , 0.02  ,  0.78856  , 0.81807  , 0.95324  , 0.71649  , 2923.0  ,  23769   , 1231  , 9456  , 15544
rbf  , 0.0375  , 0.0225  ,  0.79152  , 0.81987  , 0.95132  , 0.72035  , 3075.0  ,  23700   , 1300  , 9251  , 15749
rbf  , 0.0375  , 0.025  ,  0.79384  , 0.82102  , 0.94811  , 0.724  , 3268.0  ,  23621   , 1379  , 9032  , 15968
rbf  , 0.0375  , 0.0275  ,  0.79684  , 0.82276  , 0.94547  , 0.72826  , 3469.0  ,  23539   , 1461  , 8824  , 16176
rbf  , 0.0375  , 0.03  ,  0.79944  , 0.82414  , 0.94234  , 0.73232  , 3713.0  ,  23444   , 1556  , 8648  , 16352
rbf  , 0.0375  , 0.0325  ,  0.80128  , 0.82473  , 0.93745  , 0.73622  , 3982.0  ,  23317   , 1683  , 8441  , 16559
rbf  , 0.0375  , 0.035  ,  0.80304  , 0.8252  , 0.93223  , 0.74023  , 4292.0  ,  23182   , 1818  , 8253  , 16747
rbf  , 0.04  , 0.02  ,  0.7888  , 0.81793  , 0.95124  , 0.71741  , 3045.0  ,  23726   , 1274  , 9386  , 15614
rbf  , 0.04  , 0.0225  ,  0.79168  , 0.81958  , 0.94876  , 0.72139  , 3193.0  ,  23660   , 1340  , 9190  , 15810
rbf  , 0.04  , 0.025  ,  0.7942  , 0.82095  , 0.94603  , 0.72511  , 3375.0  ,  23583   , 1417  , 8980  , 16020
