

New occurence at: 2021-03-01 11:25:19.740186, Trojan name: HT1_1 - 4 

kernel , nu   , gamma   ,    Accuracy,    F1_score,    Recall,   Precision,   No_Sup_Vec 
rbf  , 0.001  , 0.001  ,  0.5902  , 0.70696  , 0.98917  , 0.55012  , 93.0 
rbf  , 0.001  , 0.003  ,  0.7147  , 0.77335  , 0.97381  , 0.6414  , 210.2 
rbf  , 0.001  , 0.005  ,  0.7516  , 0.7946  , 0.96158  , 0.6771  , 303.2 
rbf  , 0.001  , 0.007  ,  0.7675  , 0.80308  , 0.94877  , 0.69624  , 396.6 
rbf  , 0.001  , 0.009  ,  0.7773  , 0.8082  , 0.93901  , 0.70945  , 480.6 
rbf  , 0.001  , 0.011  ,  0.7859  , 0.81269  , 0.9296  , 0.72197  , 557.2 
rbf  , 0.001  , 0.013  ,  0.7876  , 0.81146  , 0.91479  , 0.72915  , 643.2 
rbf  , 0.001  , 0.015  ,  0.7913  , 0.81221  , 0.90303  , 0.73801  , 735.2 
rbf  , 0.001  , 0.017  ,  0.7926  , 0.8111  , 0.89084  , 0.7445  , 821.8 
rbf  , 0.001  , 0.019  ,  0.7911  , 0.80724  , 0.87535  , 0.74899  , 909.6 
rbf  , 0.001  , 0.021  ,  0.7907  , 0.80456  , 0.86214  , 0.75423  , 995.0 
rbf  , 0.001  , 0.023  ,  0.792  , 0.80375  , 0.85235  , 0.76042  , 1084.2 
rbf  , 0.001  , 0.025  ,  0.7909  , 0.80026  , 0.83805  , 0.76578  , 1167.8 
rbf  , 0.003  , 0.001  ,  0.5901  , 0.70691  , 0.98917  , 0.55006  , 93.8 
rbf  , 0.003  , 0.003  ,  0.714  , 0.77292  , 0.97381  , 0.6408  , 213.4 
rbf  , 0.003  , 0.005  ,  0.7518  , 0.79479  , 0.96197  , 0.67719  , 310.8 
rbf  , 0.003  , 0.007  ,  0.7674  , 0.80304  , 0.94896  , 0.69607  , 406.4 
rbf  , 0.003  , 0.009  ,  0.777  , 0.80797  , 0.93881  , 0.7092  , 493.4 
rbf  , 0.003  , 0.011  ,  0.7855  , 0.81243  , 0.92979  , 0.72145  , 576.2 
rbf  , 0.003  , 0.013  ,  0.7877  , 0.8116  , 0.91518  , 0.72912  , 668.0 
rbf  , 0.003  , 0.015  ,  0.7911  , 0.81206  , 0.90303  , 0.73777  , 763.2 
rbf  , 0.003  , 0.017  ,  0.7933  , 0.81179  , 0.89185  , 0.74495  , 851.0 
rbf  , 0.003  , 0.019  ,  0.7913  , 0.80754  , 0.87615  , 0.74891  , 948.8 
rbf  , 0.003  , 0.021  ,  0.7922  , 0.80601  , 0.86378  , 0.75551  , 1041.0 
rbf  , 0.003  , 0.023  ,  0.7918  , 0.80359  , 0.85234  , 0.76015  , 1136.4 
rbf  , 0.003  , 0.025  ,  0.791  , 0.80029  , 0.83783  , 0.76602  , 1232.4 
rbf  , 0.005  , 0.001  ,  0.5906  , 0.70695  , 0.98818  , 0.55043  , 97.8 
rbf  , 0.005  , 0.003  ,  0.7146  , 0.77336  , 0.97422  , 0.64124  , 213.0 
rbf  , 0.005  , 0.005  ,  0.752  , 0.79495  , 0.96217  , 0.67732  , 309.6 
rbf  , 0.005  , 0.007  ,  0.7674  , 0.80304  , 0.94898  , 0.69607  , 406.8 
rbf  , 0.005  , 0.009  ,  0.7773  , 0.80814  , 0.9386  , 0.70958  , 496.0 
rbf  , 0.005  , 0.011  ,  0.7855  , 0.81243  , 0.92979  , 0.72145  , 578.4 
rbf  , 0.005  , 0.013  ,  0.788  , 0.81193  , 0.9158  , 0.72926  , 668.2 
rbf  , 0.005  , 0.015  ,  0.791  , 0.81201  , 0.90322  , 0.73757  , 766.8 
rbf  , 0.005  , 0.017  ,  0.7931  , 0.81158  , 0.89145  , 0.74487  , 857.8 
rbf  , 0.005  , 0.019  ,  0.7916  , 0.80777  , 0.87617  , 0.7493  , 956.4 
rbf  , 0.005  , 0.021  ,  0.7923  , 0.80619  , 0.86437  , 0.75538  , 1048.8 
rbf  , 0.005  , 0.023  ,  0.7915  , 0.80325  , 0.85174  , 0.76002  , 1148.0 
rbf  , 0.005  , 0.025  ,  0.7907  , 0.80007  , 0.83783  , 0.76561  , 1245.8 
rbf  , 0.007  , 0.001  ,  0.5932  , 0.70777  , 0.98579  , 0.55217  , 105.8 
rbf  , 0.007  , 0.003  ,  0.7144  , 0.77316  , 0.97381  , 0.64114  , 213.2 
rbf  , 0.007  , 0.005  ,  0.752  , 0.79492  , 0.96197  , 0.67738  , 312.2 
rbf  , 0.007  , 0.007  ,  0.7674  , 0.80304  , 0.94897  , 0.69607  , 407.8 
rbf  , 0.007  , 0.009  ,  0.7769  , 0.80778  , 0.93819  , 0.70928  , 495.6 
rbf  , 0.007  , 0.011  ,  0.7854  , 0.81236  , 0.92979  , 0.72134  , 580.0 
rbf  , 0.007  , 0.013  ,  0.7884  , 0.81228  , 0.9162  , 0.72957  , 671.0 
rbf  , 0.007  , 0.015  ,  0.7912  , 0.81213  , 0.90303  , 0.73789  , 769.0 
rbf  , 0.007  , 0.017  ,  0.7937  , 0.81216  , 0.89226  , 0.74529  , 860.2 
rbf  , 0.007  , 0.019  ,  0.7921  , 0.80828  , 0.87696  , 0.74959  , 959.4 
rbf  , 0.007  , 0.021  ,  0.7923  , 0.8062  , 0.86439  , 0.75538  , 1052.6 
rbf  , 0.007  , 0.023  ,  0.7918  , 0.80365  , 0.85258  , 0.76007  , 1151.4 
